dataset,n_features_total,model,selector,selector_family,k_ratio,n_selected_mean,accuracy_mean,accuracy_std,f1_mean,f1_std,train_time_s_mean,total_time_s_mean,energy_j_mean,energy_wh_mean
Wisconsin Breast Cancer,30,Logistic Regression,Wrapper (RFE),Wrapper,0.75,22.0,0.9754230709517155,0.015075578675513112,0.9752095615778691,0.015421316802531502,0.0034055667994834947,0.016327591799927176,1.0612934669952665,0.00029480374083201846
Wisconsin Breast Cancer,30,Logistic Regression,Embedded (L1-SVM),Embedded,0.75,22.0,0.9806862288464524,0.006539441283506109,0.9806482647794408,0.0065672154163534495,0.0032065751998743507,0.009852174800471403,0.6403913620306412,0.00017788648945295588
Wisconsin Breast Cancer,30,Logistic Regression,Embedded (RF importance),Embedded,0.75,22.0,0.9754230709517155,0.011616237298934176,0.975280955412549,0.011827411494055234,0.0039024498000799213,0.2205853417995968,14.338047216973791,0.003982790893603831
Wisconsin Breast Cancer,30,Random Forest,Baseline (no FS),None,1.0,30.0,0.9525850023288308,0.018008381071502738,0.9524315105983995,0.018352134330549316,0.19704950019950046,0.22512846700046793,14.633350355030416,0.004064819543064004
Wisconsin Breast Cancer,30,Random Forest,Filter (Mutual Info),Filter,0.25,8.0,0.9508150908244062,0.018014617406760716,0.9507823664783265,0.01810391571142044,0.17121796660067048,0.26962500020017616,17.52562501301145,0.0048682291702809586
Wisconsin Breast Cancer,30,Random Forest,Wrapper (RFE),Wrapper,0.25,8.0,0.9543238627542306,0.013988984957703334,0.9541745031695733,0.014147009846323536,0.17569793360089533,0.2190767081992817,14.239986032953311,0.003955551675820364
Wisconsin Breast Cancer,30,Random Forest,Embedded (L1-SVM),Embedded,0.25,8.0,0.9701443875174661,0.01716731573453789,0.970009477975411,0.01735160455197949,0.17613154179998675,0.20833424180018484,13.541725717012014,0.0037615904769477816
Wisconsin Breast Cancer,30,Random Forest,Embedded (RF importance),Embedded,0.25,8.0,0.9490607048594939,0.019486154060072494,0.9490121024525348,0.019512601960824154,0.17344492519987398,0.3807485336001264,24.748654684008216,0.006874626301113393
Wisconsin Breast Cancer,30,Random Forest,Baseline (no FS),None,1.0,30.0,0.9525850023288308,0.018008381071502738,0.9524315105983995,0.018352134330549316,0.2044232752006792,0.23230718319900917,15.099966907935595,0.004194435252204332
Wisconsin Breast Cancer,30,Random Forest,Filter (Mutual Info),Filter,0.5,15.0,0.943797546964757,0.020395855816626382,0.9435458710230676,0.020617322134085403,0.16936258360074136,0.26937674159999003,17.509488203999354,0.004863746723333154
Wisconsin Breast Cancer,30,Random Forest,Wrapper (RFE),Wrapper,0.5,15.0,0.9543393882937432,0.016956732414636782,0.9542491052523248,0.017082287654921813,0.17769127479987218,0.21920494200021495,14.248321230013971,0.003957867008337214
Wisconsin Breast Cancer,30,Random Forest,Embedded (L1-SVM),Embedded,0.5,15.0,0.9613569321533924,0.008881965625046924,0.961307222291208,0.009026562630619545,0.18447557500039694,0.2182140253993566,14.18391165095818,0.003939975458599494
Wisconsin Breast Cancer,30,Random Forest,Embedded (RF importance),Embedded,0.5,15.0,0.9473063188945815,0.02214262003114482,0.9470949464142482,0.022322624225354887,0.17667609180061844,0.38123321659950304,24.7801590789677,0.006883377521935472
Wisconsin Breast Cancer,30,Random Forest,Baseline (no FS),None,1.0,30.0,0.9525850023288308,0.018008381071502738,0.9524315105983995,0.018352134330549316,0.2440868836005393,0.27717424179936645,18.016325716958818,0.00500453492137745
